brand_name,model_name,variant_name,variant_url,Engine,Fuel Type,Transmission,Emission Standard,Overspeed Warning,Seat Belt Warning,Anti-Lock Braking System (ABS),Engine Type,Max Power (bhp@rpm),Max Torque (Nm@rpm),Mileage (ARAI),Driving Range,Drivetrain,Others,Length,Width,Height,Wheelbase,Ground Clearance,Doors,Seating Capacity,No of Rows,Bootspace,Fuel Tank Capacity,Front Suspension,Rear Suspension,Front Brake Type,Rear Brake Type,Minimum Turning Radius,Steering Type,Wheels,Spare Wheel,Front Tyres,Rear Tyres,Lane Departure Warning,Emergency Brake Light Flashing,Puncture Repair Kit,Forward Collision Warning (FCW),Automatic Emergency Braking (AEB),High-beam Assist,NCAP Rating,Blind Spot Detection,Lane Departure Prevention,Dashcam,Airbags,Rear Middle Three Point seatbelt,Rear Middle Head Rest,Tyre Pressure Monitoring System (TPMS),Child Seat Anchor Points,Electronic Brake-force Distribution (EBD),Brake Assist (BA),Electronic Stability Program (ESP),Hill Hold Control,Traction Control System (TC/TCS),Hill Descent Control,Engine Immobiliser,Central Locking,Speed Sensing Door Lock,Child Safety Lock,Air Purifier,Umbrella Storage in Door,Electronic Parking Brake,Air Conditioner,Front AC,Rear AC,Third Row AC Zone,Heater,Vanity Mirrors on Sun Visors,Cabin Boot Access,Anti-glare Mirrors,Parking Assist,Parking Sensors,Cruise Control,Headlight and Ignition On Reminder,Keyless Start/ Button Start,Steering Adjustment,12V Power Outlets,Find My Car,Check Vehicle Status via App,Geo-fence,Emergency Call,Over The Air (OTA) Updates,Remote AC: On / Off via App,Remote Car Lock/Unlock via App,Remote Sunroof: Open / Close via App,Car Light Flashing & Honking via App,Alexa Compatibility,Driver Seat Adjustment,Front Passenger Seat Adjustment,Rear Row Seat Adjustment,Seat Upholstery,Leather-wrapped Steering Wheel,Leather-wrapped Gear Knob,Driver Armrest,Rear Passenger Seat Type,Ventilated Seats,Ventilated Seat Type,Interiors,Interior Colours,Rear Armrest,Folding Rear Seat,Split Rear Seat,Front Seatback Pockets,Headrests,Cup Holders,Driver Armrest Storage,Cooled Glovebox,Sunglass Holder,ORVM Colour,Scuff Plates,Power Windows,One Touch Down,One Touch Up,Adjustable ORVMs,Turn Indicators on ORVMs,Rear Defogger,Rear Wiper,Exterior Door Handles,Rain-sensing Wipers,Interior Door Handles,Door Pockets,Side Window Blinds,Bootlid Opener,Sunroof / Moonroof,Roof-mounted Antenna,Body-coloured Bumpers,Chrome Finish Exhaust Pipe,Body Kit,Rub-strips,Headlights,Automatic Headlamps,Follow Me Home Headlamps,Cornering Headlights,Taillights,Daytime Running Lights,Fog Lights,Ambient Interior Lighting,Puddle Lamps,Cabin Lamps,Light on Vanity Mirrors,Rear Reading Lamp,Glovebox Lamp,Headlight Height Adjuster,Instantaneous Consumption,Instrument Cluster,Trip Meter,Average Fuel Consumption,Average Speed,Distance to Empty,Clock,Low Fuel Level Warning,Door Ajar Warning,Adjustable Cluster Brightness,Gear Indicator,Shift Indicator,Heads Up Display (HUD),Tachometer,Android Auto,Apple CarPlay,Display,Touchscreen Size,Integrated (in-dash) Music System,Speakers,Steering-mounted controls,Voice Command,GPS Navigation System,Bluetooth Compatibility,AUX Compatibility,AM/FM Radio,USB Compatibility,Wireless Charger,Head Unit Size,iPod Compatibility,Internal Hard Drive,Battery Warranty (In Years),Battery Warranty (In Kilometres),Warranty (In Years),Warranty (In Kilometres),Alternate Fuel,Rear Cross-traffic Assist,Kerb Weight,Four-Wheel-Drive,Differential Lock,Rear Windshield Blind,Ride Height Adjustment,Limited Slip Differential (LSD),Heated/Cooled Cup Holders,Massage Seats,Third Row Seat Adjustment,Third Row Seat Type,Split Third Row Seat,Third Row Cup Holders,Soft-close Door,Ambient Interior Count,Gesture Control,Display Screen for Rear Passengers,DVD Playback,Electric Motor,Remote Parking with Key,Battery,City Mileage (As tested by CarWale),Highway Mileage (As tested by CarWale),Acceleration (0-100 kmph),Electric Motor Assist,Max Motor Performance,Turbocharger / Supercharger,Top Speed,Battery Charging
Maruti Suzuki,Maruti New Dzire,LXi,https://www.carwale.com/maruti-suzuki-cars/new-dzire/lxi/,3 Cylinders,Petrol,Manual,BS6 Phase 2,"1 beep over 80kmph, Continuous beeps over 120kmph",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maruti Suzuki,Maruti New Dzire,VXi,https://www.carwale.com/maruti-suzuki-cars/new-dzire/vxi/,,Petrol,Manual,,"1 beep over 80kmph, Continuous beeps over 120kmph",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maruti Suzuki,Maruti New Dzire,ZXi,https://www.carwale.com/maruti-suzuki-cars/new-dzire/zxi/,,Petrol,Manual,,"1 beep over 80kmph, Continuous beeps over 120kmph",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maruti Suzuki,Maruti New Dzire,ZXi Plus,https://www.carwale.com/maruti-suzuki-cars/new-dzire/zxi-plus/,,Petrol,Manual,,"1 beep over 80kmph, Continuous beeps over 120kmph",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maruti Suzuki,Maruti Fronx,Fronx Sigma 1.2L MT,https://www.carwale.com/maruti-suzuki-cars/fronx/sigma-12l-mt/,"1197 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",Petrol,Manual - 5 Gears,BS6 Phase 2,"1 beep over 80kmph, Continuous beeps over 120kmph",Yes,Yes,"1.2L Dual Jet, Dual VVT",89 bhp @ 6000 rpm,113 Nm @ 4400 rpm,21.79 kmpl,806 km,FWD,Idle Start/Stop,3995 mm,1765 mm,1550 mm,2520 mm,190 mm,5 Doors,5 Person,2 Rows,308 litres,37 litres,MacPherson Strut,Torsion Beam,Disc,Drum,4.9 metres,Power assisted (Electric),Steel Rims,Steel,195 / 60 R16,195 / 60 R16,No,No,No,No,No,No,Not Tested,No,No,No,"2 Airbags (Driver, Front Passenger)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Keyless,Yes,Yes,No,No,No,Yes (Automatic Climate Control),"Single Zone, Common Fan Speed Control",-,-,Yes,Co-Driver Only,Yes,Manual - Internal Only,No,Rear,No,Yes,No,Tilt,Yes,No,No,No,No,No,No,No,No,No,No,"6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)","6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)",2 way manually adjustable (headrest: up / down),Fabric,No,No,No,Bench,No,No,Dual Tone,-,No,Full,60:40 split,No,Front & Rear,Front Only,No,No,No,Body Coloured,-,Front & Rear,Driver,Driver,Externally Adjustable,No,Yes,No,Body Coloured,No,Black,Front & Rear,No,Internal,No,Yes,No,Yes,-,-,Halogen Projector,No,No,No,LED,No,-,No,No,Centre,No,Yes,No,Yes,-,Analogue - Digital,Electronic 2 Trips,Yes,No,Yes,Digital,No,Yes,Yes,Yes,No,No,Analogue,No,No,No,-,No,No,No,No,No,No,No,No,No,No,Not Available,No,No,Not Applicable,Not Applicable,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maruti Suzuki,Maruti Fronx,Fronx Delta 1.2L MT,https://www.carwale.com/maruti-suzuki-cars/fronx/delta-12l-mt/,"1197 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",Petrol,Manual - 5 Gears,BS6 Phase 2,"1 beep over 80kmph, Continuous beeps over 120kmph",Yes,Yes,"1.2L Dual Jet, Dual VVT",89 bhp @ 6000 rpm,113 Nm @ 4400 rpm,21.79 kmpl,806 km,FWD,Idle Start/Stop,3995 mm,1765 mm,1550 mm,2520 mm,190 mm,5 Doors,5 Person,2 Rows,308 litres,37 litres,MacPherson Strut,Torsion Beam,Disc,Drum,4.9 metres,Power assisted (Electric),Steel Rims,Steel,195 / 60 R16,195 / 60 R16,No,No,No,No,No,No,Not Tested,No,No,No,"2 Airbags (Driver, Front Passenger)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Keyless,Yes,Yes,No,No,No,Yes (Automatic Climate Control),"Single Zone, Common Fan Speed Control",-,-,Yes,Co-Driver Only,Yes,Manual - Internal Only,No,Rear,No,Yes,No,Tilt,Yes,No,No,No,No,Yes,No,No,No,No,No,"6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)","6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)",2 way manually adjustable (headrest: up / down),Fabric,No,No,No,Bench,No,No,Dual Tone,-,No,Full,60:40 split,No,Front & Rear,Front Only,No,No,No,Body Coloured,-,Front & Rear,Driver,Driver,Electrically Adjustable & Retractable,Yes,Yes,No,Body Coloured,No,Black,Front & Rear,No,Internal,No,Yes,No,Yes,-,-,Halogen Projector,No,No,No,LED,No,-,No,No,Centre,No,Yes,No,Yes,-,Analogue - Digital,Electronic 2 Trips,Yes,No,Yes,Digital,No,Yes,Yes,Yes,No,No,Analogue,Wireless,Wireless,Touch-screen Display,7 inch,Yes,4,Yes,Yes,No,Phone & Audio Streaming,Yes,Yes,Yes,No,Not Available,No,No,Not Applicable,Not Applicable,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maruti Suzuki,Maruti Fronx,Fronx Sigma 1.2 CNG,https://www.carwale.com/maruti-suzuki-cars/fronx/sigma-12-cng/,"1197 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",CNG,Manual - 5 Gears,BS6 Phase 2,"1 beep over 80kmph, Continuous beeps over 120kmph",Yes,Yes,1.2L K-Series (CNG),76 bhp @ 6000 rpm,98.5 Nm @ 4300 rpm,28.51 kmpl,806 km,FWD,Idle Start/Stop,3995 mm,1765 mm,1550 mm,2520 mm,190 mm,5 Doors,5 Person,2 Rows,,55 litres,MacPherson Strut,Torsion Beam,Disc,Drum,4.9 metres,Power assisted (Electric),Steel Rims,Steel,195 / 60 R16,195 / 60 R16,No,No,No,No,No,No,Not Tested,No,No,No,"2 Airbags (Driver, Front Passenger)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Keyless,Yes,Yes,No,No,No,Yes (Automatic Climate Control),"Single Zone, Common Fan Speed Control",-,-,Yes,Co-Driver Only,Yes,Manual - Internal Only,No,Rear,No,Yes,No,Tilt,Yes,No,No,No,No,No,No,No,No,No,No,"6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)","6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)",2 way manually adjustable (headrest: up / down),Fabric,No,No,No,Bench,No,No,Dual Tone,-,No,Full,60:40 split,No,Front & Rear,Front Only,No,No,No,Body Coloured,-,Front & Rear,Driver,Driver,Externally Adjustable,No,Yes,No,Body Coloured,No,Black,Front & Rear,No,Internal,No,Yes,No,Yes,-,-,Halogen Projector,No,No,No,LED,No,-,No,No,Centre,No,Yes,No,Yes,-,Analogue - Digital,Electronic 2 Trips,Yes,No,Yes,Digital,No,Yes,Yes,-,-,No,Analogue,No,No,No,-,No,No,No,No,No,No,No,No,No,No,Not Available,No,No,Not Applicable,Not Applicable,-,-,Petrol,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maruti Suzuki,Maruti Fronx,Fronx Delta Plus 1.2L MT,https://www.carwale.com/maruti-suzuki-cars/fronx/delta-plus-12l-mt/,"1197 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",Petrol,Manual - 5 Gears,BS6 Phase 2,"1 beep over 80kmph, Continuous beeps over 120kmph",Yes,Yes,"1.2L Dual Jet, Dual VVT",89 bhp @ 6000 rpm,113 Nm @ 4400 rpm,21.79 kmpl,806 km,FWD,Idle Start/Stop,3995 mm,1765 mm,1550 mm,2520 mm,190 mm,5 Doors,5 Person,2 Rows,308 litres,37 litres,MacPherson Strut,Torsion Beam,Disc,Drum,4.9 metres,Power assisted (Electric),Alloy Wheels,Steel,195 / 60 R16,195 / 60 R16,No,No,No,No,No,No,Not Tested,No,No,No,"2 Airbags (Driver, Front Passenger)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Keyless,Yes,Yes,No,No,No,Yes (Automatic Climate Control),"Single Zone, Common Fan Speed Control",-,-,Yes,Co-Driver Only,Yes,Manual - Internal Only,No,Rear,No,Yes,No,Tilt,Yes,No,No,No,No,Yes,No,No,No,No,No,"6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)","6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)",2 way manually adjustable (headrest: up / down),Fabric,No,No,No,Bench,No,No,Dual Tone,-,No,Full,60:40 split,No,Front & Rear,Front Only,No,No,No,Body Coloured,-,Front & Rear,Driver,Driver,Electrically Adjustable & Retractable,Yes,Yes,No,Body Coloured,No,Black,Front & Rear,No,Internal,No,Yes,No,Yes,-,-,LED,Yes,Yes,No,LED,LED,-,No,No,Centre,No,Yes,No,Yes,-,Analogue - Digital,Electronic 2 Trips,Yes,No,Yes,Digital,No,Yes,Yes,Yes,No,No,Analogue,Wireless,Wireless,Touch-screen Display,7 inch,Yes,4,Yes,Yes,No,Phone & Audio Streaming,Yes,Yes,Yes,No,Not Available,No,No,Not Applicable,Not Applicable,-,-,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maruti Suzuki,Maruti Grand Vitara,Grand Vitara Sigma Smart Hybrid,https://www.carwale.com/maruti-suzuki-cars/grand-vitara/sigma-smart-hybrid/,"1462 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",Petrol,Manual - 5 Gears,BS6 Phase 2,"1 beep over 80kmph, Continuous beeps over 120kmph",Yes,Yes,K15C + Mild Hybrid System,102 bhp @ 6000 rpm,136.8 Nm @ 4400 rpm,21.11 kmpl,950 km,FWD,Idle Start/Stop,4345 mm,1795 mm,1645 mm,2600 mm,210 mm,5 Doors,5 Person,2 Rows,373 litres,45 litres,MacPherson Strut,Torsion Beam,Ventilated Disc,Disc,5.4 metres,Power assisted (Electric),Steel Rims,Steel,215 / 60 R17,215 / 60 R17,No,Yes,No,No,,No,Not Tested,No,No,,"2 Airbags (Driver, Front Passenger)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Keyless,Yes,Yes,Yes,,No,Yes (Automatic Climate Control),"Single Zone, Common Fan Speed Control","Blower, Vents Behind Front Armrest",-,Yes,Driver & Co-Driver,Yes,Manual - Internal Only,No,Rear,No,Yes,Yes,Tilt & Telescopic,Yes,No,No,No,No,No,No,No,No,No,No,"8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)","6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)","4 way manually adjustable (backrest tilt forward / back, headrest up / down)",Fabric,,,Yes,Bench,No,No,Dual Tone,Black + Bordeaux,With Cup Holder,Full,60:40 split,No,Front & Rear,Front & Rear,Yes,,Yes,Body Coloured,No,Front & Rear,Driver,Driver,Electrically Adjustable & Retractable,Yes,Yes,No,Body Coloured,No,Chrome,Front & Rear,No,Electric Tailgate Release,No,Yes,Yes,,Cladding - Black/Grey,No,Halogen Projector,No,No,,LED,LED,-,No,No,Front and Rear,No,Both Sides,No,Yes,Yes,Analogue - Digital,Electronic 2 Trips,Yes,Yes,Yes,Digital,Yes,Yes,Yes,Yes,Dynamic,No,Analogue,Wireless,Wireless,No,-,No,No,Yes,No,No,No,No,No,No,No,Not Applicable,No,,No,Not Applicable,2,40000,,No,1150 kg,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,
Maruti Suzuki,Maruti Grand Vitara,Grand Vitara Delta Smart Hybrid,https://www.carwale.com/maruti-suzuki-cars/grand-vitara/delta-smart-hybrid/,"1462 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",Petrol,Manual - 5 Gears,BS6 Phase 2,"1 beep over 80kmph, Continuous beeps over 120kmph",Yes,Yes,K15C + Mild Hybrid System,102 bhp @ 6000 rpm,136.8 Nm @ 4400 rpm,21.11 kmpl,950 km,FWD,Idle Start/Stop,4345 mm,1795 mm,1645 mm,2600 mm,210 mm,5 Doors,5 Person,2 Rows,373 litres,45 litres,MacPherson Strut,Torsion Beam,Ventilated Disc,Disc,5.4 metres,Power assisted (Electric),Steel Rims,Steel,215 / 60 R17,215 / 60 R17,No,Yes,No,No,,No,Not Tested,No,No,,"2 Airbags (Driver, Front Passenger)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Keyless,Yes,Yes,Yes,,No,Yes (Automatic Climate Control),"Single Zone, Common Fan Speed Control","Blower, Vents Behind Front Armrest",-,Yes,Driver & Co-Driver,Yes,Manual - Internal Only,Reverse Camera,Rear,Yes,Yes,Yes,Tilt & Telescopic,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,"8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)","6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)","4 way manually adjustable (backrest tilt forward / back, headrest up / down)",Fabric,,,Yes,Bench,No,No,Dual Tone,Black + Bordeaux,With Cup Holder,Full,60:40 split,No,Front & Rear,Front & Rear,Yes,,Yes,Body Coloured,No,Front & Rear,Driver,Driver,Electrically Adjustable & Retractable,Yes,Yes,No,Body Coloured,No,Chrome,Front & Rear,No,Electric Tailgate Release,No,Yes,Yes,,Cladding - Black/Grey,No,Halogen Projector,No,No,,LED,LED,-,No,No,Front and Rear,No,Both Sides,Yes,Yes,Yes,Analogue - Digital,Electronic 2 Trips,Yes,Yes,Yes,Digital,Yes,Yes,Yes,Yes,Dynamic,No,Analogue,Wireless,Wireless,Touch-screen Display,7 inch,Yes,4,Yes,Yes,No,Phone & Audio Streaming,Yes,Yes,Yes,No,Not Applicable,Yes,,No,Not Applicable,2,40000,,No,1162 kg,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,
Maruti Suzuki,Maruti Grand Vitara,Grand Vitara Delta Dominion Edition Smart Hybrid,https://www.carwale.com/maruti-suzuki-cars/grand-vitara/delta-dominion-edition-smart-hybrid/,"1462 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",Petrol,Manual - 5 Gears,BS6 Phase 2,"1 beep over 80kmph, Continuous beeps over 120kmph",Yes,Yes,K15C + Mild Hybrid System,102 bhp @ 6000 rpm,136.8 Nm @ 4400 rpm,21.11 kmpl,950 km,FWD,Idle Start/Stop,4345 mm,1795 mm,1645 mm,2600 mm,210 mm,5 Doors,5 Person,2 Rows,373 litres,45 litres,MacPherson Strut,Torsion Beam,Ventilated Disc,Disc,5.4 metres,Power assisted (Electric),Steel Rims,Steel,215 / 60 R17,215 / 60 R17,No,Yes,No,No,No,No,Not Tested,No,No,No,"2 Airbags (Driver, Front Passenger)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Keyless,Yes,Yes,Yes,No,No,Yes (Automatic Climate Control),"Single Zone, Common Fan Speed Control","Blower, Vents Behind Front Armrest",-,Yes,Driver & Co-Driver,Yes,Manual - Internal Only,Reverse Camera,Rear,Yes,Yes,Yes,Tilt & Telescopic,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,"8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)","6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)","4 way manually adjustable (backrest tilt forward / back, headrest up / down)",Fabric,-,No,Yes,Bench,No,No,Dual Tone,Black + Bordeaux,With Cup Holder,Full,60:40 split,No,Front & Rear,Front & Rear,Yes,No,Yes,Body Coloured,No,Front & Rear,Driver,Driver,Electrically Adjustable & Retractable,Yes,Yes,No,Body Coloured,No,Chrome,Front & Rear,No,Electric Tailgate Release,No,Yes,Yes,No,Cladding - Black/Grey,No,Halogen Projector,No,No,No,LED,LED,-,No,No,Front and Rear,No,Both Sides,Yes,Yes,Yes,Analogue - Digital,Electronic 2 Trips,Yes,Yes,Yes,Digital,Yes,Yes,Yes,Yes,Dynamic,No,Analogue,Wireless,Wireless,Touch-screen Display,7 inch,Yes,4,Yes,Yes,No,Phone & Audio Streaming,Yes,Yes,Yes,No,Not Applicable,Yes,No,No,Not Applicable,2,40000,,No,1162 kg,No,No,No,No,No,No,No,-,No,No,No,No,-,No,No,No,,,,,,,,,,,
Maruti Suzuki,Maruti Grand Vitara,Grand Vitara Delta CNG,https://www.carwale.com/maruti-suzuki-cars/grand-vitara/delta-cng/,"1462 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",CNG,Manual - 5 Gears,BS6 Phase 2,"1 beep over 80kmph, Continuous beeps over 120kmph",Yes,Yes,,87 bhp @ 5500 rpm,121.5 Nm @ 4200 rpm,26.6 kmpl,1463 km,FWD,Idle Start/Stop,4345 mm,1795 mm,1645 mm,2600 mm,210 mm,5 Doors,5 Person,2 Rows,373 litres,45 litres,MacPherson Strut,Torsion Beam,Ventilated Disc,Disc,5.4 metres,Power assisted (Electric),Steel Rims,Steel,215 / 60 R17,215 / 60 R17,No,Yes,No,No,,No,Not Tested,No,No,,"2 Airbags (Driver, Front Passenger)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Keyless,Yes,Yes,Yes,,No,Yes (Automatic Climate Control),"Single Zone, Common Fan Speed Control","Blower, Vents Behind Front Armrest",-,Yes,Driver & Co-Driver,Yes,Manual - Internal Only,Reverse Camera,Rear,Yes,Yes,Yes,Tilt & Telescopic,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,"8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)","6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)","4 way manually adjustable (backrest tilt forward / back, headrest up / down)",Fabric,,,Yes,Bench,No,No,Dual Tone,Black + Bordeaux,With Cup Holder,Full,60:40 split,No,Front & Rear,Front & Rear,Yes,,Yes,Body Coloured,No,Front & Rear,Driver,Driver,Electrically Adjustable & Retractable,Yes,Yes,No,Body Coloured,No,Chrome,Front & Rear,No,Electric Tailgate Release,No,Yes,Yes,,Cladding - Black/Grey,No,Halogen Projector,No,No,,LED,LED,-,No,No,Front and Rear,No,Both Sides,Yes,Yes,Yes,Analogue - Digital,Electronic 2 Trips,Yes,Yes,Yes,Digital,Yes,Yes,Yes,Yes,Dynamic,No,Analogue,Wireless,Wireless,Touch-screen Display,7 inch,Yes,4,Yes,Yes,No,Phone & Audio Streaming,Yes,Yes,Yes,No,Not Applicable,Yes,,No,Not Applicable,2,40000,Petrol,No,1240 kg,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,
Maruti Suzuki,Maruti Brezza,Brezza LXi,https://www.carwale.com/maruti-suzuki-cars/brezza/lxi/,"1462 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",Petrol,Manual - 5 Gears,BS6 Phase 2,"1 beep over 80kmph, Continuous beeps over 120kmph",Yes,Yes,K15C,102 bhp @ 6000 rpm,136.8 Nm @ 4400 rpm,17.38 kmpl,834 km,FWD,Idle Start/Stop,3995 mm,1790 mm,1685 mm,2500 mm,,5 Doors,5 Person,2 Rows,328 litres,48 litres,Mac Pherson Strut & coil,Torsion Beam & CoiL Spring,Ventilated Disc,Drum,,Power assisted (Electric),Steel Rims,Steel,215 / 60 R16,215 / 60 R16,No,No,No,No,No,No,Not Tested,No,No,No,"2 Airbags (Driver, Front Passenger)",Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Keyless,Yes,Yes,No,No,No,Yes (Manual),"Single Zone, Common Fan Speed Control","Blower, Vents Behind Front Armrest",-,Yes,No,Yes,Manual - Internal Only,No,Rear,No,Yes,No,Tilt,Yes,No,No,No,No,No,No,No,No,No,No,"4 way manually adjustable (seat forward / back, backrest tilt forward / back)","4 way manually adjustable (seat forward / back, backrest tilt forward / back)",-,Fabric,No,No,No,Bench,No,No,Single Tone,Black,No,Full,No,Yes,Front,Front Only,No,No,No,Body Coloured,No,Front & Rear,Driver,Driver,Electrically Adjustable,Yes,No,No,Body Coloured,No,Painted,Front & Rear,No,Internal with Remote,No,Yes,Yes,No,Cladding - Black/Grey,No,Halogen,No,No,No,LED,No,-,No,No,Front and Rear,No,Yes,No,Yes,Yes,Analogue,Electronic 2 Trips,Yes,Yes,No,Analogue,Yes,Yes,No,Yes,No,No,Analogue,No,No,No,-,No,No,No,No,No,No,No,No,No,No,Not Applicable,No,No,Not Applicable,Not Applicable,2,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maruti Suzuki,Maruti Brezza,Brezza LXi S-CNG,https://www.carwale.com/maruti-suzuki-cars/brezza/lxi-s-cng/,"1462 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",CNG,Manual - 5 Gears,BS6 Phase 2,"1 beep over 80kmph, Continuous beeps over 120kmph",Yes,Yes,K15C,87 bhp @ 5500 rpm,121.5 Nm @ 4200 rpm,25.51 kmpl,1403 km,FWD,Idle Start/Stop,3995 mm,1790 mm,1685 mm,2500 mm,,5 Doors,5 Person,2 Rows,,55 litres,Mac Pherson Strut & coil,Torsion Beam & CoiL Spring,Ventilated Disc,Drum,,Power assisted (Electric),Steel Rims,Steel,215 / 60 R16,215 / 60 R16,No,No,No,No,No,No,Not Tested,No,No,No,"2 Airbags (Driver, Front Passenger)",Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Keyless,Yes,Yes,No,No,No,Yes (Manual),"Single Zone, Common Fan Speed Control","Blower, Vents Behind Front Armrest",-,Yes,No,Yes,Manual - Internal Only,No,Rear,No,Yes,No,Tilt,Yes,No,No,No,No,No,No,No,No,No,No,"4 way manually adjustable (seat forward / back, backrest tilt forward / back)","4 way manually adjustable (seat forward / back, backrest tilt forward / back)",-,Fabric,No,No,No,Bench,No,No,Single Tone,Black,No,Full,No,Yes,Front,Front Only,No,No,No,Body Coloured,No,Front & Rear,Driver,Driver,Electrically Adjustable,Yes,No,No,Body Coloured,No,Painted,Front & Rear,No,Internal with Remote,No,Yes,Yes,No,Cladding - Black/Grey,No,Halogen,No,No,No,LED,No,-,No,No,Front and Rear,No,Yes,No,Yes,Yes,Analogue,Electronic 2 Trips,Yes,Yes,No,Analogue,Yes,Yes,No,Yes,No,No,Analogue,No,No,No,-,No,No,No,No,No,No,No,No,No,No,Not Applicable,No,No,Not Applicable,Not Applicable,2,40000,Petrol,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
